storage,coal_price,energy_price,action
1000,20,130,"(False, True)"
1000,20,140,"(False, True)"
1000,20,150,"(False, True)"
1000,20,160,"(False, True)"
1000,20,170,"(False, True)"
1000,20,180,"(False, True)"
1000,20,190,"(False, True)"
1000,20,200,"(False, True)"
1000,20,210,"(False, True)"
1000,20,220,"(False, True)"
1000,20,230,"(False, True)"
1000,20,240,"(False, True)"
1000,20,250,"(False, True)"
1000,20,260,"(False, True)"
1000,20,270,"(False, True)"
1000,20,280,"(False, True)"
1000,20,290,"(False, True)"
1000,20,300,"(False, True)"
1000,30,10,"(False, False)"
1000,30,20,"(False, False)"
1000,30,30,"(False, False)"
1000,30,40,"(False, False)"
1000,30,50,"(False, False)"
1000,30,60,"(False, False)"
1000,30,70,"(False, False)"
1000,30,80,"(False, False)"
1000,30,90,"(False, False)"
1000,30,100,"(False, False)"
1000,30,110,"(False, False)"
1000,30,120,"(False, False)"
1000,30,130,"(False, True)"
1000,30,140,"(False, True)"
1000,30,150,"(False, True)"
1000,30,160,"(False, True)"
1000,30,170,"(False, True)"
1000,30,180,"(False, True)"
1000,30,190,"(False, True)"
1000,30,200,"(False, True)"
1000,30,210,"(False, True)"
1000,30,220,"(False, True)"
1000,30,230,"(False, True)"
1000,30,240,"(False, True)"
1000,30,250,"(False, True)"
1000,30,260,"(False, True)"
1000,30,270,"(False, True)"
1000,30,280,"(False, True)"
1000,30,290,"(False, True)"
1000,30,300,"(False, True)"
1000,40,10,"(False, False)"
1000,40,20,"(False, False)"
1000,40,30,"(False, False)"
1000,40,40,"(False, False)"
1000,40,50,"(False, False)"
1000,40,60,"(False, False)"
1000,40,70,"(False, False)"
1000,40,80,"(False, False)"
1000,40,90,"(False, False)"
1000,40,100,"(False, False)"
1000,40,110,"(False, False)"
1000,40,120,"(False, False)"
1000,40,130,"(False, True)"
1000,40,140,"(False, True)"
1000,40,150,"(False, True)"
1000,40,160,"(False, True)"
1000,40,170,"(False, True)"
1000,40,180,"(False, True)"
1000,40,190,"(False, True)"
1000,40,200,"(False, True)"
1000,40,210,"(False, True)"
1000,40,220,"(False, True)"
1000,40,230,"(False, True)"
1000,40,240,"(False, True)"
1000,40,250,"(False, True)"
1000,40,260,"(False, True)"
1000,40,270,"(False, True)"
1000,40,280,"(False, True)"
1000,40,290,"(False, True)"
1000,40,300,"(False, True)"
1000,50,10,"(False, False)"
1000,50,20,"(False, False)"
1000,50,30,"(False, False)"
1000,50,40,"(False, False)"
1000,50,50,"(False, False)"
1000,50,60,"(False, False)"
1000,50,70,"(False, False)"
1000,50,80,"(False, False)"
1000,50,90,"(False, False)"
1000,50,100,"(False, False)"
1000,50,110,"(False, False)"
1000,50,120,"(False, False)"
1000,50,130,"(False, True)"
1000,50,140,"(False, True)"
1000,50,150,"(False, True)"
1000,50,160,"(False, True)"
1000,50,170,"(False, True)"
1000,50,180,"(False, True)"
1000,50,190,"(False, True)"
1000,50,200,"(False, True)"
1000,50,210,"(False, True)"
1000,50,220,"(False, True)"
1000,50,230,"(False, True)"
1000,50,240,"(False, True)"
1000,50,250,"(False, True)"
1000,50,260,"(False, True)"
1000,50,270,"(False, True)"
1000,50,280,"(False, True)"
1000,50,290,"(False, True)"
1000,50,300,"(False, True)"
1000,60,10,"(False, False)"
1000,60,20,"(False, False)"
1000,60,30,"(False, False)"
1000,60,40,"(False, False)"
1000,60,50,"(False, False)"
1000,60,60,"(False, False)"
1000,60,70,"(False, False)"
1000,60,80,"(False, False)"
1000,60,90,"(False, False)"
1000,60,100,"(False, False)"
1000,60,110,"(False, False)"
1000,60,120,"(False, False)"
1000,60,130,"(False, True)"
1000,60,140,"(False, True)"
1000,60,150,"(False, True)"
1000,60,160,"(False, True)"
1000,60,170,"(False, True)"
1000,60,180,"(False, True)"
1000,60,190,"(False, True)"
1000,60,200,"(False, True)"
1000,60,210,"(False, True)"
1000,60,220,"(False, True)"
1000,60,230,"(False, True)"
1000,60,240,"(False, True)"
1000,60,250,"(False, True)"
1000,60,260,"(False, True)"
1000,60,270,"(False, True)"
1000,60,280,"(False, True)"
1000,60,290,"(False, True)"
1000,60,300,"(False, True)"
1000,70,10,"(False, False)"
1000,70,20,"(False, False)"
1000,70,30,"(False, False)"
1000,70,40,"(False, False)"
1000,70,50,"(False, False)"
1000,70,60,"(False, False)"
1000,70,70,"(False, False)"
1000,70,80,"(False, False)"
1000,70,90,"(False, False)"
1000,70,100,"(False, False)"
1000,70,110,"(False, False)"
1000,70,120,"(False, False)"
1000,70,130,"(False, True)"
1000,70,140,"(False, True)"
1000,70,150,"(False, True)"
1000,70,160,"(False, True)"
1000,70,170,"(False, True)"
1000,70,180,"(False, True)"
1000,70,190,"(False, True)"
1000,70,200,"(False, True)"
1000,70,210,"(False, True)"
1000,70,220,"(False, True)"
1000,70,230,"(False, True)"
1000,70,240,"(False, True)"
1000,70,250,"(False, True)"
1000,70,260,"(False, True)"
1000,70,270,"(False, True)"
1000,70,280,"(False, True)"
1000,70,290,"(False, True)"
1000,70,300,"(False, True)"
1000,80,10,"(False, False)"
1000,80,20,"(False, False)"
1000,80,30,"(False, False)"
1000,80,40,"(False, False)"
1000,80,50,"(False, False)"
1000,80,60,"(False, False)"
1000,80,70,"(False, False)"
1000,80,80,"(False, False)"
1000,80,90,"(False, False)"
1000,80,100,"(False, False)"
1000,80,110,"(False, False)"
1000,80,120,"(False, False)"
1000,80,130,"(False, True)"
1000,80,140,"(False, True)"
1000,80,150,"(False, True)"
1000,80,160,"(False, True)"
1000,80,170,"(False, True)"
1000,80,180,"(False, True)"
1000,80,190,"(False, True)"
1000,80,200,"(False, True)"
1000,80,210,"(False, True)"
1000,80,220,"(False, True)"
1000,80,230,"(False, True)"
1000,80,240,"(False, True)"
1000,80,250,"(False, True)"
1000,80,260,"(False, True)"
1000,80,270,"(False, True)"
1000,80,280,"(False, True)"
1000,80,290,"(False, True)"
1000,80,300,"(False, True)"
1000,90,10,"(False, False)"
1000,90,20,"(False, False)"
1000,90,30,"(False, False)"
1000,90,40,"(False, False)"
1000,90,50,"(False, False)"
1000,90,60,"(False, False)"
1000,90,70,"(False, False)"
1000,90,80,"(False, False)"
1000,90,90,"(False, False)"
1000,90,100,"(False, False)"
1000,90,110,"(False, False)"
1000,90,120,"(False, False)"
1000,90,130,"(False, True)"
1000,90,140,"(False, True)"
1000,90,150,"(False, True)"
1000,90,160,"(False, True)"
1000,90,170,"(False, True)"
1000,90,180,"(False, True)"
1000,90,190,"(False, True)"
1000,90,200,"(False, True)"
1000,90,210,"(False, True)"
1000,90,220,"(False, True)"
1000,90,230,"(False, True)"
1000,90,240,"(False, True)"
1000,90,250,"(False, True)"
1000,90,260,"(False, True)"
1000,90,270,"(False, True)"
1000,90,280,"(False, True)"
1000,90,290,"(False, True)"
1000,90,300,"(False, True)"
1000,100,10,"(False, False)"
1000,100,20,"(False, False)"
1000,100,30,"(False, False)"
1000,100,40,"(False, False)"
1000,100,50,"(False, False)"
1000,100,60,"(False, False)"
1000,100,70,"(False, False)"
1000,100,80,"(False, False)"
1000,100,90,"(False, False)"
1000,100,100,"(False, False)"
1000,100,110,"(False, False)"
1000,100,120,"(False, False)"
1000,100,130,"(False, True)"
1000,100,140,"(False, True)"
1000,100,150,"(False, True)"
1000,100,160,"(False, True)"
1000,100,170,"(False, True)"
1000,100,180,"(False, True)"
1000,100,190,"(False, True)"
1000,100,200,"(False, True)"
1000,100,210,"(False, True)"
1000,100,220,"(False, True)"
1000,100,230,"(False, True)"
